Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
RIG,3.28,2021/01/15,11:43 EST,-0.21000004,3.41,3.41,3.13,18831465,,,,,,,
TIGR,13.725,2021/01/15,11:43 EST,-0.024999619,13.95,15.25,12.83,7186376,,,,,,,
TSLA,844.0281,2021/01/15,11:43 EST,-0.9719238,852.0,859.9,835.0,17894038,,,,,,,
TSM,125.9094,2021/01/15,11:43 EST,-0.540596,128.47,128.515,123.21,9971850,,,,,,,
SUNW,11.96,2021/01/15,11:43 EST,-0.5500002,12.15,13.35,11.51,7196006,,,,,,,
RUN,85.09,2021/01/15,11:43 EST,-3.8300018,87.14,89.29,83.6001,2337260,,,,,,,
SPWR,32.405,2021/01/15,11:43 EST,-2.675003,34.38,34.55,31.55,6708724,,,,,,,
STPK,31.9101,2021/01/15,11:43 EST,-2.0298977,32.99,33.13,30.2,1755064,,,,,,,
SQ,230.1232,2021/01/15,11:43 EST,-2.6667938,233.63,236.43,225.5835,3494851,,,,,,,
SONO,26.325,2021/01/15,11:43 EST,-0.50499916,26.79,26.79,25.23,1035037,,,,,,,
SNOW,302.22,2021/01/15,11:43 EST,-1.5400085,306.82,308.63,294.7715,1556569,,,,,,,
SNAP,49.8937,2021/01/15,11:43 EST,0.86370087,50.7,51.0688,49.05,11351642,,,,,,,
SFIX,73.82,2021/01/15,11:43 EST,-1.7699966,74.93,77.14,73.26,1523594,,,,,,,
ROKU,411.9111,2021/01/15,11:43 EST,-6.548889,418.0,425.99,407.1601,2139605,,,,,,,
RIOT,25.4818,2021/01/15,11:43 EST,-3.4181995,27.0,27.15,24.51,16659153,,,,,,,
REZI,24.95,2021/01/15,11:43 EST,-0.54999924,24.76,25.06,24.54,286745,,,,,,,
REGI,78.24,2021/01/15,11:42 EST,-4.9500046,81.68,81.99,76.1399,506775,,,,,,,
SOL,22.94,2021/01/15,11:43 EST,-2.3199997,24.95,24.96,22.13,1929366,,,,,,,
QS,54.45,2021/01/15,11:43 EST,-1.5,55.9,55.95,52.03,5435604,,,,,,,
PTON,158.8,2021/01/15,11:43 EST,-6.449997,165.82,166.08,157.2369,2962919,,,,,,,
PLUG,61.0997,2021/01/15,11:43 EST,-5.4403,63.15,64.99,57.32,50634752,,,,,,,
PLG,4.5,2021/01/15,11:43 EST,-0.26000023,4.7,4.71,4.35,990921,,,,,,,
PINS,69.9,2021/01/15,11:43 EST,-1.0599976,71.39,71.85,69.27,4147007,,,,,,,
PDD,160.6501,2021/01/15,11:43 EST,-6.609894,162.95,164.73,157.81,4849056,,,,,,,
PLTR,26.755,2021/01/15,11:43 EST,1.8349991,26.26,28.0,25.82,61633278,,,,,,,
PD,46.615,2021/01/15,11:43 EST,-0.40499878,47.18,48.55,46.07,334386,,,,,,,
PEIX,6.96,2021/01/15,11:43 EST,-0.46000004,7.2,7.2,6.66,2837943,,,,,,,
OSTK,60.43,2021/01/15,11:43 EST,-3.6399994,63.13,64.5,58.88,2174328,,,,,,,
NNDM,10.505,2021/01/15,11:43 EST,0.13500023,10.76,10.95,10.3,20062731,,,,,,,
NIU,38.13,2021/01/15,11:43 EST,-1.0900002,39.1,40.39,36.88,1037981,,,,,,,
NIO,57.48,2021/01/15,11:43 EST,-3.3899994,59.84,60.22,56.32,80586191,,,,,,,
NAVI,11.855,2021/01/15,11:42 EST,-0.2550001,12.11,12.11,11.725,929894,,,,,,,
MSFT,213.92,2021/01/15,11:43 EST,0.8999939,213.52,214.51,212.03,12896900,,,,,,,
MP,32.1699,2021/01/15,11:43 EST,-1.0101013,33.38,33.43,30.46,1607890,,,,,,,
MMEDF,3.06,2021/01/15,11:28 EST,-0.06500006,3.25,3.25,2.95,1918682,,,,,,,
MIK,16.72,2021/01/15,11:43 EST,-0.75,16.71,17.02,15.97,4307813,,,,,,,
MVIS,6.7234,2021/01/15,11:43 EST,0.12340021,6.59,7.48,6.51,14035441,,,,,,,
MGNI,29.87,2021/01/15,11:43 EST,-1.2699986,30.6,31.3,28.51,2134785,,,,,,,
MARA,22.8501,2021/01/15,11:43 EST,-1.589901,23.1,23.66,21.85,18507885,,,,,,,
MGY,8.945,2021/01/15,11:43 EST,-0.015000343,8.73,8.995,8.64,1800433,,,,,,,
LMND,154.12,2021/01/15,11:43 EST,-4.380005,153.59,158.1899,143.219,6006482,,,,,,,
LI,33.02,2021/01/15,11:43 EST,-1.6800003,34.26,34.76,32.61,8902987,,,,,,,
LAZR,31.4305,2021/01/15,11:43 EST,-0.9394989,32.38,32.6799,30.701,2675456,,,,,,,
LAC,20.7051,2021/01/15,11:43 EST,-0.7349014,21.24,21.72,19.85,2560395,,,,,,,
JMIA,45.35,2021/01/15,11:43 EST,-1.5100021,46.83,48.0,42.02,6232610,,,,,,,
JKS,59.665,2021/01/15,11:43 EST,-2.7549973,62.0,62.1599,59.02,1522213,,,,,,,
IIPR,184.19,2021/01/15,11:43 EST,-5.580002,190.0,190.89,181.6345,189648,,,,,,,
ICLN,30.6811,2021/01/15,11:43 EST,-1.6188984,31.46,31.57,30.27,7057825,,,,,,,
HIMX,8.26,2021/01/15,11:43 EST,-0.3699999,8.6,8.605,8.11,1374987,,,,,,,
GRWG,50.2599,2021/01/15,11:43 EST,-0.2201004,51.35,51.6,47.81,1401752,,,,,,,
GP,29.4457,2021/01/15,11:42 EST,-1.1543007,30.25,30.59,28.3301,216138,,,,,,,
FUTU,74.41,2021/01/15,11:43 EST,1.4000015,77.04,77.04,72.0,3661284,,,,,,,
FUBO,34.04,2021/01/15,11:43 EST,-1.579998,35.1,36.2,32.204,11745949,,,,,,,
FTCH,57.7,2021/01/15,11:43 EST,-1.7999992,60.0,60.31,56.36,1504321,,,,,,,
FEYE,22.32,2021/01/15,11:43 EST,-0.020000458,22.44,22.92,22.19,1869267,,,,,,,
FATE,115.12,2021/01/15,11:43 EST,-2.2799988,116.38,119.4423,111.7038,404316,,,,,,,
FAN,24.01,2021/01/15,11:42 EST,-0.8600006,24.4,24.37,23.96,351309,,,,,,,
EXPI,75.56,2021/01/15,11:42 EST,-1.8500061,77.45,78.1,73.13,316978,,,,,,,
ETSY,203.19,2021/01/15,11:43 EST,-8.330002,211.21,211.99,197.16,1778427,,,,,,,
SOLO,7.8785,2021/01/15,11:43 EST,-0.031499863,8.1661,8.49,7.61,11849448,,,,,,,
EH,41.6535,2021/01/15,11:43 EST,-2.8064995,48.67,51.39,40.555,4905143,,,,,,,
EDIT,80.0302,2021/01/15,11:43 EST,4.110199,76.49,83.9443,76.1,2546153,,,,,,,
DKNG,54.13,2021/01/15,11:43 EST,-0.7899971,54.51,55.03,51.71,5833267,,,,,,,
APPS,56.58,2021/01/15,11:43 EST,-3.3899994,59.5,59.8,54.38,1977538,,,,,,,
DM,22.99,2021/01/15,11:43 EST,-0.3600006,23.2,25.2,21.65,5448083,,,,,,,
DQ,72.24,2021/01/15,11:43 EST,-3.4300003,74.48,75.99,71.46,1776937,,,,,,,
DADA,44.08,2021/01/15,11:43 EST,2.4400024,42.4,44.38,41.4,1132678,,,,,,,
CRON,11.0793,2021/01/15,11:43 EST,-0.1807003,11.5,11.75,10.81,6449962,,,,,,,
COTY,7.035,2021/01/15,11:43 EST,-0.13500023,7.16,7.19,6.87,3510561,,,,,,,
NET,78.5001,2021/01/15,11:43 EST,-2.009903,80.86,82.47,77.19,1475470,,,,,,,
CLNE,9.8401,2021/01/15,11:43 EST,-0.36989975,10.03,10.15,9.5105,4157057,,,,,,,
CRNC,117.01,2021/01/15,11:43 EST,3.0299988,114.46,119.48,113.81,472127,,,,,,,
CELH,65.71,2021/01/15,11:43 EST,0.89499664,63.99,65.71,62.5,613592,,,,,,,
CSIQ,52.595,2021/01/15,11:43 EST,-3.0249977,54.815,55.23,51.92,1051679,,,,,,,
CALX,33.02,2021/01/15,11:43 EST,0.24000168,32.53,33.5,32.35,232380,,,,,,,
BTBT,17.22,2021/01/15,11:43 EST,-0.9000015,17.58,17.65,16.75,2334448,,,,,,,
BLNK,48.69,2021/01/15,11:43 EST,-3.9300003,51.3,52.2999,46.6001,6671940,,,,,,,
BILI,122.475,2021/01/15,11:43 EST,-0.74500275,125.47,126.71,120.05,2542302,,,,,,,
BLDP,31.85,2021/01/15,11:43 EST,-2.6999989,32.6,32.75,30.2,5907768,,,,,,,
ACB,12.34,2021/01/15,11:43 EST,0.3800001,12.85,13.317,11.85,31618919,,,,,,,
ATOM,30.128,2021/01/15,11:42 EST,-0.47200012,31.04,31.4973,28.25,554346,,,,,,,
FUV,16.91,2021/01/15,11:43 EST,-0.9699993,17.8,17.8789,16.0,1139913,,,,,,,
AQB,11.34,2021/01/15,11:43 EST,-0.019999504,11.4345,11.84,10.43,1643662,,,,,,,
